,title,authors,categories,description,average_rating,ratings_count
2658,his dark materials,Nicholas Wright;Philip Pullman,Children's plays,"From the novels by Philip Pullman, this brilliant adaptation by Nicholas Wright of His Dark Materials is sure to be a runaway success with your students - such is the popularity of the original trilogy which has earned wide literary acclaim. Consists of the two critically acclaimed plays performed at the National Theatre both printed in one volume - thus offering exceptional value for money. Invaluable teacher's notes and student drama activities written by Ruth Moore and Paul Bunyan, recognised experts in the area of Drama in English. Philip Pullman worked closely with playwright Nicolas Wright to create the text, and both writers have contributed introductions to our edition. The exciting, highly imaginative storyline, which captivates boys and girls alike, offers a wide range of textual and dramatic investigations. Parts for all the class, and ideal for smaller groups, with potential for interchangeable male/female roles.",4.04,93.0
2659,when rain clouds gather,Bessie Head,Fiction,"Two exiles--one white, one black--in a poor village in Botswana struggle with tradition, climate, and the local chief as they try to modernize the villagers' farming methods.",3.84,993.0
2660,the complete works of george orwell,George Orwell,unknown,no description,4.11,20.0
2661,harry potter and the chamber of secrets (book 2),"Rowling, J.K.",Juvenile Fiction,"In Harry Potter and the Chamber of Secrets, the summer after Harry’s first year at Hogwarts has been his worst summer ever… the Dursleys more distant and horrible than ever before. But just as he’s packing his bags to return to school, a creature named Dobby the house-elf announces that if Harry goes back to Hogwarts, disaster will strike. And it turns out, Dobby is right. Harry and Ron miss the Hogwarts Express, so they fly to school in a blue Ford Anglia, crash landing in the notorious Whomping Willow. Soon other worries accumulate: the outrageously stuck-up new professor Gilderoy Lockhart; a ghost named Moaning Myrtle, who haunts the girls' bathroom; the strange behavior of Ron's little sister, Ginny Weasley; rumors about the ""Chamber of Secrets,"" a cavern buried deep below Hogwarts; and a magical diary owned by Tom Riddle, a Hogwarts student of long ago. Harry is also shocked to discover that he can speak Parseltongue, the language of snakes - a rare ability that Lord Voldemort also possessed - and that anti-Muggle prejudice exists in the Wizarding world, even affecting Harry's friend Hermione. But all of these seem like minor concerns when someone starts turning Hogwarts students to stone: an evildoer said to be the fearsome Heir of Salazar Slytherin, on of the founders of the school. Could it be Draco Malfoy, Harry's most poisonous rival? Could it be Hagrid whose mysterious past is finally told? Or could it be the one person everyone at Hogwarts most suspects: Harry Potter himself?",4.41,2115562.0
2662,10 things i hate about you,David Levithan;Karen McCullah Lutz;Kirsten Smith,Dating (Social customs),"Told she can't date until her older sister starts, Bianca fears no one will want to take out sarcastic Kat.",4.11,1414.0
2663,the mouse and his child,Russell Hoban;David Small,Juvenile Fiction,Two discarded toy mice survive perilous adventures in a hostile world before finding security and happiness with old friends and new.,3.97,1780.0
2664,castle,Garth Nix,Juvenile Fiction,"Bestselling author Garth Nix's amazing Seventh Tower series is back - now with a great new look! The Dark World is a place of ice, wind, and fury. A veil of black covers the sky. In all the world, only the Castle shines with light. Tal and Milla are struggling to make it to the Castle, each on a dangerous mission. For Tal, a Chosen, the Castle is home - even though he is not welcome anymore. For Milla, an Icecarl warrior, the Castle is a strange and mysterious place. Her presence is a threat that the Castle dwellers want to stop . . . at any cost. Sinister forces are conspiring against them. It will take all their strength to survive.",3.87,5656.0
2665,the violet keystone,Garth Nix,Juvenile Fiction,"As they walk the line between success and destruction, Tal and Milla search for hope in a realm where old wars throw the ultimate power up for the control of anyone strong enough to hold it.",3.97,4984.0
2666,the pen is mightier than the sword,Anne Mazer,Juvenile Fiction,"Abby enjoys writing the advice column for the fifth-grade newspaper until people become upset with some of her answers, but then the opportunity comes along to use her writing skills to help a friend.",3.96,1063.0
2667,"mary, queen of scots, queen without a country",Kathryn Lasky,Juvenile Fiction,"Readers take a step back in time to 16th-century France in this year-long diary of adolescent Mary, Queen of Scots, who has fled from homeland to the Court of her betrothed in France. Mary is only nine months old when she is crowned Queen of Scotland succeeding her father King James V. Because of political conflicts, she is forced to be separated from her mother and her country from the age of five. For the benefit of forging an alliance with France, the youngster is betrothed to Francis, the son of King Henry ll of France and his wife, the vicious and jealous Queen Catherine de Medici. Mary is sent to France to live in their care until she is old enough for the marriage to take place. It is at their home, the beautiful Chateau St. Germaine, that we first meet the irresistibly charming Mary at 11 years old. Keenly intelligent, she excels academically, and shows a talent for dance, music and poetry. She's an expert horsewoman, skilled at archery and hawking.",3.82,4682.0
2668,the call of the wild,Jack London,Juvenile Fiction,"When Buck is stolen from his kind family, he must quickly learn a new set of survival rules as he is taken away to the gold-crazed North by unsavory men. Original.",3.85,255627.0
2669,holes,Louis Sachar,Blind,Newbery Medal Award Winner 1999.,3.95,844072.0
2670,freak the mighty,W. Rodman Philbrick,Juvenile Fiction,"At the beginning of eighth grade, learning disabled Max and his new friend Freak, whose birth defect has affected his body but not his brilliant mind, find that when they combine forces they make a powerful team.",4.0,39447.0
2671,alice in wonderland,Lewis Carroll,Juvenile Fiction,A little girl falls down a rabbit hole and discovers a world of nonsensical and amusing characters.,4.01,133.0
2672,no more dead dogs,Gordon Korman,Drama,"For use in schools and libraries only. Truthful Wallace gives a thumbs-down to a book much to the chagrin of his English teacher, who sentences him to help with a stage version of the book. Wallace is unaware that his plot-improvement suggestions will wind up changing the entire production.",3.71,11.0
2673,conversations with j.k. rowling,Lindsey Fraser,Juvenile Nonfiction,"From her birth in Chipping Sodbury near Bristol, England, to the stories about her favorite teachers, to the funny misunderstanding in her first fan letter, the life of the author of the Harry Potter books is revealed. Original. 250,000 first printing.",3.99,4184.0
2674,quidditch through the ages,J. K. Rowling,"Animals, Mythical","A history of the sport Quidditch, answering such questions such as where the Golden Snitch came from, or why the Wigtown Wanderers have meat cleavers on their robes.",4.4,11459.0
2675,every cloud has a silver lining,Anne Mazer,Diaries,"Abby Hayes is starting fifth grade. Her supersibs, the perfect older twins and her genius little brother, have already proved their Hayes worthiness. This is going to be Abby's year ... and she's going to record every moment of it.",3.93,29.0
2676,harry potter and the order of the phoenix (book 5),"Rowling, J.K.",Juvenile Fiction,"In Harry Potter and the Order of the Phoenix, Lord Voldemort has returned to the Wizarding world, presenting a threat that neither the magical government nor the authorities at Hogwarts can stop. In response to his reappearance, Dumbledore reactivates the Order of the Phoenix, a secret society which works to defeat the Dark Lord's minions and protect his targets—especially Harry Potter. But Harry doesn’t want to be protected. Even as the Ministry of Magic denies his claims, The Daily Prophet discredits him, and even Dumbledore won’t look him in the eye, Harry grows more and more determined to fight his lifelong enemy Voldemort—if only he had the “weapon” the Order is guarding. In the meantime, he visits his godfather at his ghoulish London home, Grimmauld Place, and learns more about Voldemort’s deep reach into Wizarding history and the Wizarding world. Back at Hogwarts, Harry must deal with a Defense Against the Dark Arts teacher with a personality like poisoned honey; a surprising new member of the Gryffindor Quidditch team; the possibility of his first real romance; and the looming nightmare of the Ordinary Wizarding Level exams. He’s haunted by dreams of a heavy door at the end of a silent corridor, and a vision of his father and the young Severus Snape that changes everything he thought he knew about them. Even the joy of working with ""Dumbledore's Army"" -a group of Hogwart's students dedicated to defeating Voldemort- can't dispel the gathering darkness. Soon Harry will discover the true depth and strength of his friends; their boundless loyalty and unbearable sacrifices. His fate depends on them all.",4.49,1996446.0
2677,enchantress from the stars,Sylvia Louise Engdahl,Juvenile Fiction,"When young Elana unexpectedly joins the team leaving the spaceship to study the planet Andrecia, she becomes an integral part of an adventure involving three very different civilizations, each one centered on the third planet from the star in its own solar system.",3.94,29.0
2678,the truth about stacey,Ann M. Martin,Babysitters Club (Imaginary organization),"The truth about Stacey is that she has diabetes. Nobody knows-- except her friends in the Baby-sitters Club. But even they don't know the real truth about Stacey. Stacey's parents are her bigger problem. They won't recognize what she's going through, leaving her feeling more alone than ever.",3.85,50.0
2679,the story of a seagull and the cat who taught her to fly,Luis Sepúlveda;Margaret Sayers Peden;Chris Sheban,Juvenile Fiction,"A seagull, dying from the effects of an oil spill, entrusts her egg to Zorba the cat, who promises to care for it until her chick hatches, then teach the chick to fly. Reprint.",4.13,4791.0
2680,don't know much about american history,Kenneth C. Davis,United States,"Presents, in question and answer format, a history of the United States from the exploration of Christopher Columbus to the terrorist attacks of September 11, 2001.",3.9,21169.0
2681,the journey,Kathryn Lasky,Juvenile Fiction,"Wishing to fight off evil that exists among the owls of the Great Ga'Hoole Tree, Soren, Gylfie, Twilight, and Digger must endure harsh training from the elders to become Ga'Hoolian owls, and carry out their good deeds.",4.0,10946.0
2682,the rescue,Kathryn Lasky,Juvenile Fiction,"Soren has been reunited with this sister, Eglantine, but now he must deal with the mysterious disappearance of his mentor, Ezylryb, and in his attempt to save his teacher must fight a formidable foe.",4.07,9852.0
2683,guardians of ga'hoole #4: the siege,Kathryn Lasky,Fantasy,"The war between the evil group led by Soren's brother, Kludd, and the owl of the Great Ga'Hoole Tree rages on.",4.1,8964.0
2684,the summit,Gordon Korman,Juvenile Fiction,"As Tilt, Perry, Sammi, and Dominic prepare to ascend Mt. Everest, they must deal with low supplies, high altitude, dangerous terrain, government officials, sabotage, and an approaching storm.",3.96,2515.0
2685,"the girl, the dragon, and the wild magic",Dave Luckett,Juvenile Fiction,"Failing out of magic school, Rhianna meets a wizard who realizes she is a Wild Talent, possessing a difficult-to-manage power, and when a dragon comes to town, it's up to Rhianna to master her craft or face certain doom.",3.86,450.0
2686,eat!,Roberta Grobel Intrater,Juvenile Nonfiction,A group of babies enjoys some favorite foods--along with making as big as mess on their faces as possible while they eat. On board pages.,3.95,54.0
2687,the time machine,H. G. Wells;Melvin Burgess,Juvenile Fiction,Presents the classic science fiction thriller depicting the adventures of the Time Traveler whose fantastic invention carries him into the world of the future.,3.88,263.0
2688,drowned wednesday,Garth Nix,Juvenile Fiction,"Wednesday has rolled around, and Arthur Penhaligon has an invitation to return to the House that he can't refuse. Drowned Wednesday has sent a ship to pick him up from the hospital ... even though his hometown is miles from any ocean.",3.86,22909.0
2689,hope springs eternal,Kristiana Gregory,Juvenile Fiction,"Albert, Nessa's old friend from the orphanage, has joined her in Kansas, but things have changed since they have been apart, and Nessa struggles to understand their new relationship.",4.26,128.0
2690,math fables,Greg Tang,Juvenile Nonfiction,"Simple tales and colorful computer art provide readers with an approachable guide to doing basic math, such as addition and subtraction. 4 yrs+",4.06,0.0
2691,midnight for charlie bone,Jenny Nimmo,Juvenile Fiction,Charlie Bone's life with his widowed mother and two grandmothers undergoes a dramatic change when he discovers that he can hear people in photographs talking and his aunts decide he must change schools and attend the Bloor's Academy for gifted children.,3.81,35714.0
2692,the seventh tower,Garth Nix,Juvenile Fiction,"Tal has spent his whole life in the darkness. He knows nothing else of the world. Far below the Castle, there lives an Icecarl warrior named Milla. Her fate and Tal's are irreversibly linked. Together they will discover the secrets behind the veil and the forces desperately trying to tear it apart.",4.12,61.0
2693,"anacaona, golden flower",Edwidge Danticat,Juvenile Fiction,"Edwidge Danticat, the award-winning, best-selling author of THE FARMING OF BONES and KRIK? KRAK! offers a powerful addition to The Royal Diaries series with the story of Haiti's heroic queen Anacaona. With her signature narrative grace, Edwidge Danticat brings Haiti's beautiful queen Anacaona to life. Queen Anacaona was the wife of one of her island's rulers, and a composer of songs and poems, making her popular among her people. Haiti was relatively quiet until the Spanish conquistadors discovered the island and began to settle there in 1492. The Spaniards treated the natives very cruelly, and when the natives revolted, the Spanish governor of Haiti ordered the arrests of several native nobles, including Anacaona, who was eventually captured and executed, to the horror of her people.",3.74,1651.0
2694,the discovery,Gordon Korman,Juvenile Fiction,"Sharks, shipwreck, and sunken treasure in the latest adventure trilogy from Gordon Korman. Four kids are on a marine expedition for the summer, diving to explore an underwater habitat that's just been altered by a seismic event. What they find, though, is much more than fish - it's sunken treasure. Can they salvage it without anyone else getting to it first? Will the prospect of wealth set them against one another? And what about those sharks . . . . Dive is another action-packed trilogy from Gordon Korman. The narrative will shift between an account of two kids caught in the shipwreck and the story of the four kids fighting over and desperately trying to get the treasure.",3.72,1820.0
2695,the deep,Gordon Korman,Juvenile Fiction,The adventure runs deep in this second action-packed installment of Gordon Korman's sunken treasure trilogy.,3.78,1404.0
2696,catwings,Ursula K. Le Guin,Juvenile Fiction,"Four young cats with wings leave the city slums in search of a safe place to live, finally meeting two children with kind hands.",4.08,6304.0
2697,harry potter and the chamber of secrets,J. K. Rowling;Mary GrandPre,Juvenile Fiction,"When the Chamber of Secrets is opened again at the Hogwarts School for Witchcraft and Wizardry, second-year student Harry Potter finds himself in danger from a dark power that has once more been released on the school.",4.41,6267.0
2698,harry potter and the sorcerer's stone (book 1),"Rowling, J.K.",Juvenile Fiction,"In Harry Potter and the Sorcerer's Stone, Harry, an orphan, lives with the Dursleys, his horrible aunt and uncle, and their abominable son, Dudley. One day just before his eleventh birthday, an owl tries to deliver a mysterious letter—the first of a sequence of events that end in Harry meeting a giant man named Hagrid. Hagrid explains Harry's history to him: When he was a baby, the Dark wizard, Lord Voldemort, attacked and killed his parents in an attempt to kill Harry; but the only mark on Harry was a mysterious lightning-bolt scar on his forehead. Now he has been invited to attend Hogwarts School of Witchcraft and Wizardry, where the headmaster is the great wizard Albus Dumbledore. Harry visits Diagon Alley to get his school supplies, especially his very own wand. To get to school, he takes the Hogwarts Express from platform nine and three-quarters at King's Cross Station. On the train, he meets two fellow students who will become his closest friends: Ron Weasley and Hermione Granger. Harry is assigned to Gryffindor House at Hogwarts, and soon becomes the youngest-ever Seeker on the House Quidditch team. He also studies Potions with Professor Severus Snape, who displays a deep and abiding dislike for Harry, and Defense Against the Dark Arts with nervous Professor Quirrell; he and his friends defeat a mountain troll, help Hagrid raise a dragon, and explore the wonderful, fascinating world of Hogwarts. But all events lead irrevocably toward a second encounter with Lord Voldemort, who seeks an object of legend known as the Sorcerer's Stone…",4.47,5629932.0
2699,scholastic success with 4th grade(workbook),Terry Cooper,Education,"416 bright, colorful pages that give kids practice in the skills every 4th grader needs to be successful. Includes addition and subtraction, multiplication and division, fractions and decimals, problem solving, number concepts, reading comprehension, writing, grammar, maps, and lots more. For use with Grade 4.",4.57,7.0
2700,the invisible man,H. G. Wells;M. T. Anderson,Juvenile Fiction,A young scientist's adventures with refractions of light bring terror to the residents of Burdock.,3.63,321.0
2701,the adventures of sherlock holmes,Sir Arthur Conan Doyle;Eoin Colfer,Juvenile Fiction,"Collects twelve stories featuring Sherlock Holmes including ""The nobel bachelor,"" ""A case of identity,"" and ""The copper beeches.""",4.31,811.0
2702,let down your hair,Jane B. Mason;Sarah Hines-Stephens,Juvenile Fiction,"Rapunzel is jealous when Prince Val begins ignoring her in favor of Rose, and she faces trouble when witch Madame Gothel discovers that she has been sneaking out of the tower to attend Princess School.",3.83,446.0
2703,how to draw the legend of zelda,Michael Teitelbaum;Ron Zalme,Juvenile Nonfiction,"Provides step-by-step instructions for drawing Princess Zelda, Link, King Dodongo, Deku Scrub, and other characters from the video game ""The Legend of Zelda.""",4.19,60.0
2704,werewolves don't run for president,Debbie Dadey;Marcia Thornton Jones,Juvenile Fiction,There are some pretty weird grown-ups living in Bailey City. But could the presidential candidate visiting town really be . . . a werewolf? The Bailey School kids are going to find out!,3.87,254.0
2705,chasing the falconers,Gordon Korman,Juvenile Fiction,"With their parents facing life in prison, Aidan and Meg Falconer race against time to evade the authorities and an unknown attacker to prove their innocence.",4.05,4511.0
2706,the fugitive factor,Gordon Korman,Juvenile Fiction,"Having just broken out of a juvenile detention facility, Aiden and Meg live a life on the run while trying to find evidence that will free their parents from a life sentence in prison.",4.13,2464.0
2707,the stowaway solution,Gordon Korman,Juvenile Fiction,"When the chase gets too intense on land, Aiden and Meg Falconer, fugitives from the FBI and running away from a killer, stow away on a sea bound freighter, but the crew becomes suspicious and a monster storm is on the way.",4.11,2006.0
2708,public enemies,Gordon Korman,Juvenile Fiction,"As Aiden and Meg Falconer have been chased from state to state by the FBI while trying to prove their parents innocent of a crime, the killer they know only as Hairless Joe has drawn near, and so has the truth they seek.",4.19,2024.0
2709,hunting the hunter,Gordon Korman,Juvenile Fiction,"When Aiden and Meg Falconer discover that Hairless Joe, a killer and madman, holds the key to freeing their parents from prison, they decide to try and trap him, despite the dangers.",4.21,1892.0
2710,harry potter and the prisoner of azkaban (book 3),"Rowling, J.K.",Juvenile Fiction,"For twelve long years, the dread fortress of Azkaban held an infamous prisoner named Sirius Black. Convicted of killing thirteen people with a single curse, he was said to be the heir apparent to the Dark Lord, Voldemort, and might even have assisted in the deaths of James and Lily Potter—Harry Potter’s parents. Now Black has escaped, leaving only two clues as to where he might be headed: Harry Potter's defeat of You-Know-Who was Black's downfall as well. And the Azkaban guards heard him muttering in his sleep, ""He’s at Hogwarts... he’s at Hogwarts."" Of course, Harry already had plenty to worry about. After inflating his nasty aunt and running away on the magical Knight Bus, he finds he’s being pursued by death omens at every turn. He receives two wonderful gifts: a top-of-the-line Firebolt broomstick, and the Marauder’s Map, a magical diagram of Hogwarts made by the mysterious “Moony, Wormtail, Padfoot, and Prongs.” Hermione disappears frequently, burdened down by a seemingly impossible course schedule. And the soulless Dementors have come to guard Hogwarts—supposedly to protect Harry from Sirius Black, but they terrify Harry more than the fugitive ever could. To strengthen himself against them, Harry reaches out to Remus Lupin, the Defense Against the Dark Arts teacher who was once a friend of his father’s. Lupin teaches Harry about the Patronus Charm, a defensive measure well above the level of magic generally mastered by wizards Harry’s age. But even with his broom, his map, his magic, and his loyal friends, Harry isn't safe. Because on top of everything else, there’s a traitor hidden at Hogwarts…",4.55,2149872.0
2711,underworld,Jude Watson,Juvenile Fiction,"Ferus Olin, a former Jedi apprentice, journeys through the underworld of the planet Coruscant in order to rescue a Jedi who is imprisoned in the Jedi Temple by the Empire.",3.96,799.0
2712,harry potter,J. K. Rowling,Juvenile Fiction,"The first five years of Harry Potter magic are captured in a boxed set which includes The Sorcerer's Stone, The Chamber of Secrets, The Prisoner of Azkaban, The Goblet of Fire, and The Order of the Phoenix. Simultaneous.",4.78,38872.0
2713,do not open this book!,Michaela Muntean,Juvenile Fiction,"As Pig tries to write a book, he chastises the reader who keeps interrupting him by turning the pages.",3.89,503.0
2714,lady friday,Garth Nix,Juvenile Fiction,Young Arthur Penhaligon must weigh an offer from Lady Friday that is either a cunning trap for the Rightful Heir or a golden opportunity that he must seize.,3.92,19083.0
2715,thetale of despereaux,Kate DiCamillo,Fairy tales,"This is the story of a mouse named Despereaux who loves music, stories and a princess named Pea.",4.03,705.0
2716,inkheart,Cornelia Caroline Funke,Juvenile Fiction,"Twelve-year-old Meggie learns that her father Mo, a bookbinder, can ""read"" fictional characters to life when an evil ruler named Capricorn, freed from the novel ""Inkheart"" years earlier, tries to force Mo to release an immortal monster from the story.",3.87,309700.0
2717,"where we are, what we see",David Levithan,Juvenile Nonfiction,"A collection of poems, stories, essays, and art drawn from the 2002, 2003, and 2004 Scholastic Art & Writing Awards showcases cutting-edge young authors and artists.",3.73,41.0
2718,sunny the yellow fairy,Daisy Meadows,Juvenile Fiction,"Rachel and Kirsty follow a trail of sparkly yellow dust to try and rescue Sunny, one of the colorful rainbow fairy sisters.",3.83,2296.0
2719,sky the blue fairy,Daisy Meadows;Georgie Ripper,Juvenile Fiction,The Rainbow Magic Fairies are getting colorful!,3.83,2191.0
2720,inky the indigo fairy,Daisy Meadows,Juvenile Fiction,"When the evil Jack Frost sends the Rainbow Fairies away, Rachel and Kirsty hope that a magical book that transports them to the Land of Sweets will lead them to Inky.",3.79,1971.0
2721,heather the violet fairy,Daisy Meadows,Juvenile Fiction,"When the evil Jack Frost sends the Rainbow Fairies away, Rachel and Kirsty hope that a merry-go-round that transports them to a magical world will lead them to Heather.",3.85,2197.0
2722,fourth of july mice,Bethany Roberts,Music,Four energetic mice enjoy a parade and other festivities on Independence Day.,3.23,1.0
2723,harry potter and the half-blood prince (book 6),"Rowling, J.K.",Juvenile Fiction,"When Harry Potter and the Half-Blood Prince opens, the war against Voldemort has begun. The Wizarding world has split down the middle, and as the casualties mount, the effects even spill over onto the Muggles. Dumbledore is away from Hogwarts for long periods, and the Order of the Phoenix has suffered grievous losses. And yet, as in all wars, life goes on. Harry, Ron, and Hermione, having passed their O.W.L. level exams, start on their specialist N.E.W.T. courses. Sixth-year students learn to Apparate, losing a few eyebrows in the process. Teenagers flirt and fight and fall in love. Harry becomes captain of the Gryffindor Quidditch team, while Draco Malfoy pursues his own dark ends. And classes are as fascinating and confounding as ever, as Harry receives some extraordinary help in Potions from the mysterious Half-Blood Prince. Most importantly, Dumbledore and Harry work together to uncover the full and complex story of a boy once named Tom Riddle—the boy who became Lord Voldemort. Like Harry, he was the son of one Muggle-born and one Wizarding parent, raised unloved, and a speaker of Parseltongue. But the similarities end there, as the teenaged Riddle became deeply interested in the Dark objects known as Horcruxes: objects in which a wizard can hide part of his soul, if he dares splinter that soul through murder. Harry must use all the tools at his disposal to draw a final secret out of one of Riddle’s teachers, the sly Potions professor Horace Slughorn. Finally Harry and Dumbledore hold the key to the Dark Lord’s weaknesses... until a shocking reversal exposes Dumbledore’s own vulnerabilities, and casts Harry’s—and Hogwarts’s—future in shadow.",4.56,1944099.0
2724,your best friend's boyfriend,J. E. Bright,Juvenile Fiction,"When the main character recieves attention from her best friend's boyfriend, the reader is asked to choose how the story will progress at various points along the narrative.",3.35,48.0
2725,the case of the snowboarding superstar,James Preller,Juvenile Fiction,"When Jigsaw Jones goes to Vermont with his family for winter break, he has to find a missing good luck charm without the help of his partner, Mila.",3.97,117.0
2726,thorn in her side,Jane B. Mason;Sarah Hines-Stephens,Juvenile Fiction,"Briar Rose lands the role of Princess Perfecta in the school play and Nettle, who plays opposite Rose, seems almost too perfect as the evil fairy.",3.87,210.0
2727,gothic!,Deborah Noyes,Horror stories,"Drawing on dark fantasy and the fairy tale as well as horror and wild humor, ten acclaimed authors pay homage to the gothic tale in wide-ranging stories of the supernatural and surreal.",3.55,14.0
2728,a break with charity,Ann Rinaldi,Trials (Witchcraft),"While waiting for a church meeting in 1706, Susanna English, daughter of a wealthy Salem merchant, recalls the malice, fear, and accusations of witchcraft that tore her village apart in 1692.",3.79,37.0
2729,runny babbit,Shel Silverstein,"Children's poetry, American","Runny Babbit lent to wunch and heard the saitress way, ""We have some lovely stabbit rew -- Our Special for today."" From the legendary creator of Where the Sidewalk Ends, A Light in the Attic, Falling Up, and The Giving Tree comes an unforgettable new character in children's literature. Welcome to the world of Runny Babbit and his friends Toe Jurtle, Skertie Gunk, Rirty Dat, Dungry Hog, Snerry Jake, and many others who speak a topsy-turvy language all their own. So if you say, ""Let's bead a rook That's billy as can se,"" You're talkin' Runny Babbit talk, Just like mim and he.",4.12,51.0
2730,the harry potter collection,J. K. Rowling,Juvenile Fiction,"The first six years of Harry Potter magic are captured in a boxed set which includes The Sorcerer's Stone, The Chamber of Secrets, The Prisoner of Azkaban, The Goblet of Fire, The Order of the Phoenix, and The Half-Blood Prince.",4.73,27410.0
2731,no accident,Emily Blake,Juvenile Fiction,"Kelly, Tom, Alison, Zoey, and Chad experience blackmail, new enemies, lies, and dangerous decisions.",4.17,319.0
2732,the abduction,Gordon Korman,Juvenile Fiction,"When Aiden's sister, Meg, is kidnapped, he teams up with the FBI to try to find her by tracking down clues only a brother could recognize.",3.99,3232.0
2733,the rescue,Gordon Korman,Juvenile Fiction,"As Aiden Falconer and FBI Agent Harris are closing in on the people who kidnapped Meg, Meg, unaware of the efforts to rescue her, tries to escape on her own and is never where she is suppose to be.",4.11,1818.0
2734,mister monday,Garth Nix,Juvenile Fiction,"Although Arthur Penhaligon is supposed to die, he is saved by a key shaped like the minute hand of a clock, and now some bizarre creatures--including Mister Monday, his avenging messengers, and an army of dog-faced Fetchers--will stop at nothing to get the key.",3.78,30795.0
2735,ghosthunters and the muddy monster of doom!,Cornelia Caroline Funke,Ghost stories,"With the fate of the world resting on the outcome of his battle against the mud-dripping minotaur, Tom's final exam is one that is certain to test his combined knowledge in the field and, if he survives, rightfully earn him his Ghosthunting Diploma.",3.92,510.0
2736,the trouble with violet,Anne Mazer,Juvenile Fiction,"When strange things start happening and eight-year-old Mabel, who is very sensible, cannot figure them out, she discovers a family secret that affects her younger sister Violet.",3.9,221.0
2737,violet makes a splash,Anne Mazer,Juvenile Fiction,"When Violet conjures a pool for their yard and refuses to make it disappear, Mabel, who is not magical, does not know how to explain this to their parents.",3.95,116.0
2738,guardians of ga'hoole,Kathryn Lasky,Juvenile Fiction,"Follows the adventures of Soren, an orphaned barn owl that is captured and taken to St. Aegolius Academy where he becomes caught up in a battle between good and evil.",4.25,595.0
2739,this is push,David Levithan,Juvenile Fiction,"A collection of stories from the best YA writers today, who all got their start under the PUSH label, includes new stories from Kevin Brooks, Markus Zusak, Kristen Kemp, Coe Booth, and others. Original.",3.62,222.0
2740,the case of the kidnapped candy,James Preller,Juvenile Fiction,"When the candy that Ms. Gleason was going to give to her class as a special Valentine's Day treat disappears, it is up to Jigsaw and Mila to find out what happened.",3.74,100.0
2741,awakening,Robin Wasserman,Juvenile Fiction,"Thirteen-year-old J.D. struggles to understand who she is, where she came from, and why she has nightmares.",3.95,2551.0
2742,betrayal,Robin Wasserman,Juvenile Fiction,"J.D. continues to search for answers about her past and about the dangerous powers that she cannot control, while the memories implanted in her brain by the mysterious Dr. Styron won't stop haunting her.",3.97,1431.0
2743,hello! is that grandma?,Ian Whybrow;Deborah Allwright,Children's stories,"Who's on the phone? Lift the flaps and see! Imagine you dialled a wrong number-and got through to a sheep . . . then a cow . . . then a duck . . . then a very hungry crocodile! And all you wanted to do was wish your grandma 'Happy Birthday!' A bouncy riot of wrong numbers from best-selling author Ian Whybrow. Quirky illustrations by Deborah Allwright, and lots of fold-out flaps add to the fun.",3.51,54.0
2744,savage stone age sticker book,Terry Deary;Martin Brown,Stone age,"History with the nasty bits left in!The Savage Stone Age Sticker Book is crammed full of putrid picturepuzzles and wicked word games to bring all those horrible huntersand nasty Neanderthals to life.Want to:make a Stone Age mummy?create your very own cave painting?stampede a mighty mammoth over and over again?Get stuck in to Terry Deary's foul facts and Martin Brown's craftycartoons - with over 100 re-usable stickers, you're sure to findthe Savage Stone Age forever a-peeling!History has never been so horrible!",4.0,9.0
2745,trickster's choice,Tamora Pierce,Alanna (Fictitious character : Pierce),"Alianne has an oppressive heritage. She is the daughter of Alanna, Lady Knight and King's Champion - the foremost warrior of Tortall. Aly is not a fighter - she hates her mother's obsession, which constantly takes her away from her family and makes her children feel neglected and resentful. After a stormy argument with her mother, Aly runs away to make them sorry. But she gets more than she bargained for when she is kidnapped by pirates, and sold as a slave in the far-off Copper Isles. Aly's future is bleak, but then she finds out that this has all been planned, by a god, no less. Aly is a favourite of the god Kyprioth - she is the Trickster's Choice.",4.28,43122.0
2746,northern lights,Philip Pullman,Arctic regions,"Twelve year-old Lyra Belacqua is drawn into a savage struggle among the armoured bears and witch-clans of the Arctic, where a scientific research station is carrying out experiments too horrible to be spoken about. In order to survive, she must leave her childhood behind and venture beyond the Northern Lights.",3.96,751.0
2747,his dark materials,Philip Pullman,"Children's stories, English","The trilogy follows the coming of age of two children, Lyra Belacqua and Will Parry, as they wander through a series of parallel universes against a backdrop of epic events. The story involves fantasy elements such as witches and armoured polar bears, but alludes to a broad range of ideas from fields such as physics, philosophy, and theology.",4.26,304.0
2748,mary queen of scots and her hopeless husbands,Margaret Simpson,Queens,"Mary Queen of Scots is famous for having terrible taste in husbands and losing her head on the chopping board. But do you know that she was a six-foot stunner who got kidnapped by a murderous lord? This is the inside story of Queen Mary, and includes her secret diary.",3.68,126.0
2749,a man's protection,Jayne Castle,unknown,no description,3.88,266.0
2750,the new centurions,Joseph Wambaugh,Fiction,Depicts the brutal experiences and rigorous training endured by three Los Angeles policemen,3.93,2068.0
2751,a pinch of snuff,Reginald Hill,Fiction,A routine visit to the dentist involves Police Inspector Pascoe in a bizarre case concerning the making of pornographic films in which people are actually killed on camera,3.85,1052.0
2752,suffer the children,John Saul,Fiction,"100 years after a young girl's murder, children are again disappearing from Port Arbello.",3.91,27480.0
